,Title,Body
0,अमेरिकी सांसदसँगको भेटमा खतिवडाले भने– एमसिसी अनुमोदन,अर्थमन्त्री डा युवराज खतिवडाले एमसिसी सहजै अनुमोदन बताएका अमेरिकी कंग्रेस सांसदसँगको भेटमा खतिवडाले एमसिसी प्राप्त अमेरिकी अनुदान सहायता नेपाललाई चाहिने कुरामा द्विविधा नभएको उल्लेख गरे भेटमा खतिवडाले एमसिसी सहायता सम्झौता संसदबाट अनुमोदन विश्वास दिलाएका संयुक्त राज्य अमेरिकी कंग्रेस सदस्यद्वय जर्ज होल्डिङ्ग अमी बेरासँग आज अर्थ मन्त्रालयमा भेटवार्ताको क्रममा खतिवडाले नेपाल लगानीको उपयुक्त गन्तव्य उल्लेख उत्पादन भएका बस्तुको बजारका समस्या नहुने बताए गत वर्ष लगानी सम्मेलनमा अमेरिकी निजी क्षेत्रको उत्साजनक सहभागिता चर्चा सचिवालयले जारी विज्ञप्तिमा उल्लेख अमेरिकी कंग्रेसका सदस्यद्वयले अर्थमन्त्री समक्ष नेपालको अर्थतन्त्र निजी क्षेत्रको भूमिका राष्ट्रिय प्राथमिकताका क्षेत्र हितका पक्षमा सरकारले अघि सारेका विषयमा चासो व्यक्त नेपालको विकासले अमेरिकाको निजी क्षेत्रमा सकारात्मक सन्देश प्रवाह गएको धारणा राखेका
1,सञ्चार मन्त्रालयको जिम्मा खतिवडालाई सहरी विकास नेम्वाङलाई,प्रधानमन्त्री केपी शर्मा ओलीले गोकुल बाँस्कोटाको राजीनामापछि रिक्त सञ्चार सूचना प्रविधि मन्त्रालयको जिम्मेवारी अर्थ मन्त्री युवराज खतिवडालाई दिएका त्यस्तै सहरी विकास मन्त्रालयको जिम्मेवारी वसन्त नेम्वाङलाई दिएका वसन्त नेम्वाङले अहिले भौतिक पूर्वाधार यातायात मन्त्रालय सम्हाल्दै आएका प्रधानमन्त्रीको सिफारिसमा राष्ट्रपति विद्यादेवी भण्डरीले मन्त्री खतिवडालाई सञ्चार मन्त्रालय नेम्वाङलाई सहरी विकास मन्त्रालयको जिम्मेवारी दिएकी प्रधानमन्त्री ओलीले समाजवादी पार्टीले सरकार छाडेपछि रिक्त सहरी विकास मन्त्रालय समेत गोकुल बाँस्कोटालाई जिम्मा दिएका बाँस्कोटाले कमिसनका बार्गेनिङ अडिओ बाहिरिएपछि बिहीबार राजीनामा दिएका
2,विप्लवका कार्यकर्ता बिपी विद्रोही पक्राउ,नेत्रविक्रम चन्द विप्लव समूहका कार्यकर्ता काठमाडौंबाट पक्राउ परेका बिहीबार दिउँसो कुलेश्वरबाट चन्दा उठाउन जाने क्रममा २९ वर्षीय वृहस्पति पौडेल बिपी विद्रोही पक्राउ परेका 'चन्दा उठाउन जाँदै गर्दा आज दिउँसो पक्राउ 'महानगरीय प्रहरी परिसरका प्रवक्ता डिएसपी होबिन्द्र बोगटीले 'थप अनुसन्धान गरिरहेका 'उनलाई महानगरीय प्रहरी वृत्त कालिमाटीको टोलीले पक्राउ
3,एमसिसी कार्यदलले शुक्रबार प्रतिवेदन बुझाउने तयारी,मिलेनियम च्यालेञ्ज कर्पोरेसन एमसिसी विषयमा अध्ययन बनेको कार्यदलले शुक्रबार अन्तिम प्रतिवेदन बुझाउने सत्तारूढ दल नेपाल कम्युनिष्ट पार्टी नेकपा केन्द्रीय समिति बैठकले गठन कार्यदलले शुक्रबार एमसिसीको प्रतिवेदन बुझाउने कार्यदलका सदस्य भीम रावलले अध्ययन अन्तिम चरणमा पुगेको प्रतिवेदन बुझाउने विषयमा आज टुंगो लाग्ने बताए बिहीबारको बैठकमा प्रतिवेदन अगाडि बढाउने विषयमा छलफल बताउँदै रावलले बैठकबाट अन्तिम दिने निर्णय अन्तिम दिएर बुझाउने प्रक्रियामा भोलिसम्म प्रक्रिया पूरा होला एमसिसीका विषयमा सत्तारूढ दलभित्र चर्को विरोध भएपछि केन्द्रीय समिति बैठकले अध्ययन कार्यदल गठन निर्णय निर्णयअनुसार गठन कार्यदलले एमसिसीका विषयमा अध्ययन गरिहको कार्यदलमा रावलसँगै परराष्ट्र मन्त्री प्रदीप ज्ञवाली झलनाथ खनाल सदस्य यसअघि हिजो परराष्ट्र मन्त्री ज्ञवालीले कार्यदलले सुझाव सहितको प्रतिवेदन पेश संसदबाट पारित नगर्ने विषयमा निर्णय नगर्ने बताएका
4,भारतमा बस ट्रक ठोक्किँदा १९ मृत्यु,दक्षिणी भारतमा बस ट्रक एकआपसमा ठोक्किँदा कम्तीमा १९ जनाको मृत्यु बिहीबार बिहान दक्षिणी भारतको तमिलनाडुस्थित अभिनासा नजिकैको राजमार्गमा ट्रक बस आपसमा ठोक्किएको बस ड्राइभरको घटनास्थलमै मृत्यु भएपनि ट्रक ड्राइभर बाचेका प्रहरीका ९ जना घाइते भइ अस्पतालमा भर्ना भएका उपचारपछि छुटिसकेका उक्त यात्रुबाहक बस केरलाको तिरुवनन्तपुरम जाँदै ट्रक लेनमा जाँदा विपरित दिसाबाट आउँदै बससँग ठोक्किएको दुर्घटनामा बसको एकापट्टिको भाग ध्वस्त
5,बाँस्कोटासँग अडिओ टेपमा बोल्ने मिश्रलाई कारबाही प्रहरीलाई पत्राचार,प्रतिनिधिसभाको सार्वजनिक लेखा समितिले निवर्तमान सञ्चार सूचना प्रविधि मन्त्री गोकुल बाँस्कोटासँग कमिसनको कुराकानी विजय प्रकाश मिश्रलाई कारबाही प्रहरीलाई पत्राचार उनलाई अडिओ टेप सार्वजनिक गरेकोमा नभई लेखा समितिका सांसदको चरित्र हत्या टीकाटिप्पणी गरेकोमा समितिले कारबाही पत्राचार रातोपाटी अनलाइनसँगको कुराकानीमा बाँस्कोटासँगको अडिओ नल्याएको लेखा समितिबाट जर्मन कम्पनीलाई ठेक्का दिने सहमति लागेको बताएका नोट पासपोर्ट राजस्व स्टिकर लगायतका महत्वपूर्ण कागजपत्र छपाइका आवश्यक सेक्युरिटी प्रेस खरिद विषयमा सार्वजनिक लेखा समितिले छानबिन गरिरहेको सरकारले जर्मनी फ्रान्स स्वीस कम्पनीसँग सेक्युरिटी प्रेस खरिदबारे छलफल गरे अन्तिममा जर्मनी फ्रान्सबारे प्रस्ताव अगाडि बढाउने तयारी मिश्रले लेखा समितिले जर्मनीको कम्पनीलाई ठेक्का दिनेगरी समितिका सदस्यहरूले सेटिङ दाबी आज हामीले अडिओ नल्याएको आजै लेखा समितिबाट जर्मन कम्पनीलाई ठेक्का दिने सहमति हुँदै लेखा समितिका मान्छेहरूले कमिसन खाने सेटिङ गरिसकेका त्यसकारण हामीले उक्त अडिओ ल्याएर भ्रष्टाचार हुनबाट रोक्न खोजेका हौं भनेका मिश्रले टिप्पणीबारे लेखा समितिका सांसदहरूले आपत्ति जनाएका कांग्रेस सांसद मिनेन्द्र रिजालले प्रभात किशोर उपाध्यायले फेसबुकमा लेखेको स्ट्याटस देखाएका सांसद रिजालले '४ अर्ब खाएको भनेर दुष्प्रचार गरिएको भन्दै बैठकमा लेखा समिति सदस्यहरु स्क्रिन सट देखाएका नेकपाका सांसद सूर्य पाठकले सञ्चार मन्त्रीसँगको अडिओ सार्वजनिक विजय प्रकाश मिश्रले सार्वजनिक टिप्पणीमाथि छानबिन गर्नुपर्ने बताए 'मिश्र हामीले विज्ञ भनेर बोलाएका थियौं उहाँले आज रेकर्ड सार्वजनिक नभएको लेखा समितिले जर्मन कम्पनीलाई ठेक्का दिन निर्देशन दिने भन्नुभएको छ' पाठकले 'म छानबिन माग ' पाठकले समिति सभापतिले अर्ब खान लागेको विषय पुष्टि गर्नुपर्ने बताए त्यस्तै समाजवादी पार्टीका सांसद मोहम्मद इश्तियाक राइले मिश्रले संसदको गरिमामा प्रहार बताए सम्बन्धित समाचार : सेक्युरिटी प्रेस खरिद प्रकरणमा लेखा समितिको बदनाम गरिएको भन्दै सांसद आक्रोशितमिश्र सेक्युरिटी प्रेस खरिदका स्वीस कम्पनीका एजेन्ट समेत मिश्रलाई यसअघि लेखा समितिले सेक्युरिटी प्रेसको विषयमा विज्ञका रूपमा डाकेर छलफल त्यस्तै लेखा समितिले फेसबुकमा सांसदहरूको फोटोसहित ४ अर्ब खान लागेको टिप्पणी प्रभात किशोर उपाध्यायलाई कारबाहीको प्रहरीलाई पत्राचार '४ अर्ब खाएर जर्मन कम्पनीलाई दिने सांसदहरू' उल्लेख सांसदहरूको फोटो पोस्ट
6,नैतिकताका आधारमा राजीनामा दिएँ: बाँस्कोटा,नेपाल कम्युनिष्ट पार्टीका नेता गोकुलप्रसाद बाँस्कोटाले नैतिकताका आधारमा सञ्चार सूचना प्रविधि मन्त्रालयबाट राजीनामा दिएको बताएका सेक्युरिटी प्रिन्टिङ प्रेसको खरिदमा कमिसन मागेको आरोप लागेका बाँस्कोटाले बिहीबार दिउँसो प्रधानमन्त्री केपी शर्मा ओलीलाई राजीनामा बुझाएका राजीनामापछि सामाजिक सञ्जाल ट्वीटरमा बाँस्कोटाले लेखेका मेरोबारेमा प्रश्न उठेकोले सम्माननीय प्रधानमन्त्रीज्यूसमक्ष नैतिकताको आधारमा मन्त्री पदबाट राजीनामा दिएको जानकारी गराउँदछु धन्यवाद यसअघि प्रतिनिधि सभाका सभामुख अग्निप्रसाद सापकोटाले बाँस्कोटाले राजीनामा दिएको सदनलाई जानकारी दिएका बाँस्कोटाको राजीनामापछि मन्त्रालयमा नेतृत्व खाली गत पुस २५ बाँस्कोटाले सहरी विकास मन्त्रालयको जिम्मेवारी सम्हालेका उपेन्द्र यादव नेतृत्वको समाजवादी पार्टी सरकारबाट बाहिरिएपछि प्रधानमन्त्री ओलीले आफ्ना विश्वासपात्र बाँस्कोटालाई उक्त मन्त्रालयको जिम्मेवारी दिएका त्यतिबेला खाली कानुन मन्त्रालयमा दिनअघि शिवमाया तुम्बाहाङ्फे मन्त्री नियुक्त भइसकेकी
7,बाँस्कोटाको राजीनामासँगै मन्त्रालय खाली,सेक्युरिटी प्रिन्टिङ प्रेस खरिदमा कमिसन मागेको आरोप लागेपछि सञ्चार सूचना प्रविधि मन्त्री गोकुलप्रसाद बाँस्कोटाले बिहीबार राजीनामा दिएका बालुवाटार पुगेर प्रधानमन्त्री केपी शर्मा ओलीलाई राजीनामा पत्र बुझाएका बाँस्कोटाको राजीनामापछि मन्त्रालयमा नेतृत्व खाली गत पुस २५ बाँस्कोटाले सहरी विकास मन्त्रालयको जिम्मेवारी सम्हालेका उपेन्द्र यादव नेतृत्वको समाजवादी पार्टी सरकारबाट बाहिरिएपछि प्रधानमन्त्री ओलीले आफ्ना विश्वासपात्र बाँस्कोटालाई उक्त मन्त्रालयको जिम्मेवारी दिएका त्यतिबेला खाली कानुन मन्त्रालयमा दिनअघि शिवमाया तुम्बाहाङ्फे मन्त्री नियुक्त भइसकेकी
8,कांग्रेसको अवरोधपछि प्रतिनिधिसभा बैठक स्थगित,प्रमुख प्रतिपक्षी दल नेपाल कांग्रेसको अवरोधपछि प्रतिनिधिसभा बैठक फागुन १३ गते सम्मका स्थगित बिहीबार बसेको बैठकमा कांग्रेसले सेक्युरिटी प्रिन्टिङ प्रेस प्रकरणमा मुछिएका सञ्चार सूचना प्रविधि मन्त्री गोकुल बाँस्कोटामाथि कारबाहीको माग संसद अवरूद्ध बैठकमा कांग्रेसले माग पूरा नभएसम्म संसद चल्न नदिने बताएको कांग्रेसले सञ्चार मन्त्री बाँस्कोटाको बर्खास्तगी मन्त्रीमण्डलले प्रकरणको जिम्मा लिने प्रकरण भ्रष्टाचारसँग जोडिएको विषय भन्दै सञ्चार मन्त्रीलाई कानुनी दायरका ल्याउन माग बैठकमा सभामुखले सञ्चार मन्त्री बाँस्कोटाले पदबाट राजीनामा दिएको जानकारी दिएका त्यतिञ्जेल कांग्रेस सांसद नबसेपछि बैठक स्थगित ज‍ानकारी बैठक फागुन १३ गते १ बजे बस्नेछ मन्त्री बाँस्कोटा मुछिएको सेक्युरिटी प्रेस प्रकरण वर्षअघि सेक्युरिटी प्रेस राख्ने औपचारिक प्रक्रिया सुरू प्रक्रिया निकै बांगोटिंगो बाटोबाट गुज्रिएको बेलाबेलामा भएका विरोधाभाषपूर्ण निर्णयले विभिन्न शंकाहरू जन्माएका बैंक नोट पासपोर्ट स्मार्ट कार्डलगायतका नेपालमै छाप्नका एउटा सेक्युरिटी प्रेस नेपालमै जडान पहिलादेखि उठेको मन्त्रिपरिषदबाट विभिन्न समयमा प्रेस स्थापना निर्णय काम अघि बढेको सरकार परिवर्तन भइरहने हुनाले सरकारले आफूअनुकूल प्रेस स्थापना निर्णय आएका २०७३ सालमा सरकारले प्रेस राख्ने सम्बन्धमा औपचारिक अध्ययन त्यतिबेला राष्ट्रिय योजना आयोगका उपाध्यक्ष हालका अर्थमन्त्री युवराज खतिवडाले प्रेस स्थापना ढाँचा लगानी छनौटका विभिन्न आधारसहितको सुझाव प्रतिवेदन दिएका बेला प्रधानमन्त्री केपी शर्मा ओली खतिवडाको उक्त प्रतिवेदनमा सरकारले नीतिगत निर्णय गर्नुपर्ने सिफारिस गरिएको उक्त आयोजना लगानी बोर्डमार्फत् अघि बढाउने तय भयो प्रेस स्थापना सञ्चालनका भन्दै २०७३ सालमै सुरक्षण मुद्रण विकास समिति गठन भयो लगानी बोर्डले खुला प्रतिस्पर्धाबाट प्रेस प्लान्ट बनाउने तय गर्‍यो स्वीस कम्पनीले बुट मोडलमा आफूले प्रेस जडान सञ्चालन प्रस्ताव बोर्डमा पठायो त्यहीबीचमा ओली सरकार ढल्यो तत्कालीन नेकपा एमाओवादीका अध्यक्ष पुष्पकमल दाहाल प्रचण्ड प्रधानमन्त्री त्यसपछि प्रेस स्थापनाको प्रक्रिया खासै अघि बढेन २०७४ फागुन ३ ओली फेरि प्रधानमन्त्री ओलीको नेतृत्वमा सरकार गठन भएपछि फेरि प्रिन्टिङ प्रेस स्थापना निर्णय भयो खुला प्रतिस्पर्धा नभई सरकार सरकार जी टु जी प्रक्रियाबाट प्रेस खरिद त्यसका विभिन्न आयसपत्र जारी आसयपत्र खुल सीमितमात्र जर्मन फ्रान्स सरकारले प्रेस स्थापनाका आवेदन सञ्चार मन्त्रालयनिकट स्रोतहरूका सरकारले प्रस्ताव आह्वान गर्नुभन्दा स्थानीय एजेन्टको पहलमा प्रस्ताव यसैबीच २०७५ फागुनमा सञ्चारमन्त्री बाँस्कोटा पेरिस पुगे फ्रान्सको इनग्रुप कम्पनीसँग प्रेस स्थापना एमओयूमा हस्ताक्षर भयो एमओयूमा हस्ताक्षर फेरि प्रक्रिया अघि बढेन त्यहीबीचमा प्रेस स्थापना जर्मन कम्पनीको प्रस्ताव मन्त्रिपरिदले सञ्चार मन्त्रालयको अध्ययन समितिले अध्ययन गरेपछिमात्र कुन कम्पनीलाई दिने निर्क्यौल त्यसको जिम्मेवारी सञ्चारमन्त्री बाँस्कोटालाई दिने निर्णय गर्‍यो फ्रान्सेली कम्पनीलाई दिने भनेर एमओयु भइसकेको अवस्थामा फेरि जर्मन कम्पनी थपिनु अध्ययनको नाममा लम्बाएर बार्गेनिङको चलखेल आशंका संसदको लेखा समितिले गत कात्तिक २२ गते क्याबिनेटले फ्रान्सेली कम्पनीसँग सेक्युरिटी प्रिन्टिङका सम्झौता निर्णय गर्‍यो त्यसपछि फेरि चलखेल भयो क्याबिनेटले निर्णय गर्दा पूर्ण क्षमताको प्रिन्टिङ प्रेस स्थापना भनेको उक्त निर्णयअनुसार बैंक नोट राहदानी हुलाक टिकट राजस्व स्टिकर स्मार्ट कार्ड छपाइ भनिएको कूल लागत ३० अर्बसम्म लाग्ने अनुमान गरिएको प्रेसकै फ्रेन्च कम्पनीले यसमा २७ अर्बको लागत प्रस्ताव फेरि चलखेल भयो सञ्चार मन्त्रालयले चरणमा पूर्ण क्षमताको प्रेस स्थापना नगरी कार्डमा छपाइ प्रेस स्थापनाका सम्झौता प्रक्रिया अघि बढायो फ्रेन्च कम्पनीसँग सम्झौता यसका सरकारले १५ अर्बजति खर्च अनुमान स्रोतहरूका फ्रेन्च कम्पनीको स्थानीय एजेन्ट आएकाले सरकारले बार्गेनिङको वातावरण मिलाउन निर्णय परिवर्तन आइरेहको
9,सञ्चार मन्त्री बाँस्कोटाले राजीनामा,सेक्युरिटी प्रिन्टिङ प्रेस खरिदमा कमिसन मागेको आरोप लागेका सञ्चार सूचना प्रविधि मन्त्री गोकुलप्रसाद बाँस्कोटाले राजीनामा दिएका बिहीबार धनगढीबाट फर्किएका बाँस्कोटाले प्रधानमन्त्री निवास बालुवाटार पुगेर प्रधानमन्त्री केपी शर्मा ओलीलाई राजीनामा बुझाएको स्रोतले सेतोपाटीलाई जानकारी दियो प्रतिनिधि सभामा सभामुख अग्निप्रसाद सापकोटाले बाँस्कोटाले राजीनामा दिइसकेको सदनलाई जानकारी दिएका बिहीबार बसेको प्रतिनिधिसभा बैठकमा सभामुख सापकोटाले मन्त्री बाँस्कोटाले राजीनामा बुझाइसक्नु अनौपचारिक जानकारी प्राप्त मन्त्री बाँस्कोटाले स्वीस कम्पनीसँग ७० ७५ करोड रुपैयाँ कमिसन आउँदा त्यसको ७० प्रतिशत कमिसन दिन बार्गेनिङ अडिओ टेप सार्वजनिक हाम्राकुरा डटकम . बुधबार अबेर राति 'सरकारका प्रवक्ता समेत मन्त्री बाँस्कोटाले स्वीस कम्पनीका स्थानीय एजेन्ट विजयप्रकाश मिश्रसँगको कमिसन कुराकानी भन्दै' समाचार अडिओ टेप सार्वजनिक बिहिबार बिहान अरू सञ्चार संस्थाले टेप समाचार प्रकाशित सार्वजनिक अडियो टेपमा मन्त्री बाँस्कोटाले प्रस्तावित सेक्युरिटी प्रेस स्थापना सम्झौता २० २७ अर्बमा सक्न एजेन्ट शर्मालाई भनेको सुनिन्छ 'अब सकेसम्म २५ २७ अर्बमा सक्न पाए हुन्थ्यो लागेका मान्नुहोस् २५ निस्कियो कति आउँला ' टेपमा बाँस्कोटाले मिश्रलाई सोधेका 'आउट अफ ट्र्याकमा जाँदाखेरि ७० हाराहारी ६० ७० हाराहारीमा आउँछ की' मिश्रले जवाफ दिएका त्यसपछि बाँस्कोटाले मिश्रलाई सम्बन्धित कम्पनीले गर्छन् भनी सोधेका 'टोटल ७४ करोड जति आउँछ हाम्रो अनुमान छ' मिश्रको जवाफ टेपमा मिश्रले कमिसनको ७० प्रतिशत मन्त्रीलाई ३० प्रतिशत बताएको सुन्न सकिन्छ मन्त्री बाँस्कोटाले ठाँउमा मूल्य अर्ब बढाउन भनेको सुनिन्छ मन्त्री बाँस्कोटा मुछिएको सेक्युरिटी प्रेस प्रकरण वर्षअघि सेक्युरिटी प्रेस राख्ने औपचारिक प्रक्रिया सुरू प्रक्रिया निकै बांगोटिंगो बाटोबाट गुज्रिएको बेलाबेलामा भएका विरोधाभाषपूर्ण निर्णयले विभिन्न शंकाहरू जन्माएका बैंक नोट पासपोर्ट स्मार्ट कार्डलगायतका नेपालमै छाप्नका एउटा सेक्युरिटी प्रेस नेपालमै जडान पहिलादेखि उठेको मन्त्रिपरिषदबाट विभिन्न समयमा प्रेस स्थापना निर्णय काम अघि बढेको सरकार परिवर्तन भइरहने हुनाले सरकारले आफूअनुकूल प्रेस स्थापना निर्णय आएका २०७३ सालमा सरकारले प्रेस राख्ने सम्बन्धमा औपचारिक अध्ययन त्यतिबेला राष्ट्रिय योजना आयोगका उपाध्यक्ष हालका अर्थमन्त्री युवराज खतिवडाले प्रेस स्थापना ढाँचा लगानी छनौटका विभिन्न आधारसहितको सुझाव प्रतिवेदन दिएका बेला प्रधानमन्त्री केपी शर्मा ओली खतिवडाको उक्त प्रतिवेदनमा सरकारले नीतिगत निर्णय गर्नुपर्ने सिफारिस गरिएको उक्त आयोजना लगानी बोर्डमार्फत् अघि बढाउने तय भयो प्रेस स्थापना सञ्चालनका भन्दै २०७३ सालमै सुरक्षण मुद्रण विकास समिति गठन भयो लगानी बोर्डले खुला प्रतिस्पर्धाबाट प्रेस प्लान्ट बनाउने तय गर्‍यो स्वीस कम्पनीले बुट मोडलमा आफूले प्रेस जडान सञ्चालन प्रस्ताव बोर्डमा पठायो त्यहीबीचमा ओली सरकार ढल्यो तत्कालीन नेकपा एमाओवादीका अध्यक्ष पुष्पकमल दाहाल प्रचण्ड प्रधानमन्त्री त्यसपछि प्रेस स्थापनाको प्रक्रिया खासै अघि बढेन २०७४ फागुन ३ ओली फेरि प्रधानमन्त्री ओलीको नेतृत्वमा सरकार गठन भएपछि फेरि प्रिन्टिङ प्रेस स्थापना निर्णय भयो खुला प्रतिस्पर्धा नभई सरकार सरकार जी टु जी प्रक्रियाबाट प्रेस खरिद त्यसका विभिन्न आयसपत्र जारी आसयपत्र खुल सीमितमात्र जर्मन फ्रान्स सरकारले प्रेस स्थापनाका आवेदन सञ्चार मन्त्रालयनिकट स्रोतहरूका सरकारले प्रस्ताव आह्वान गर्नुभन्दा स्थानीय एजेन्टको पहलमा प्रस्ताव यसैबीच २०७५ फागुनमा सञ्चारमन्त्री बाँस्कोटा पेरिस पुगे फ्रान्सको इनग्रुप कम्पनीसँग प्रेस स्थापना एमओयूमा हस्ताक्षर भयो एमओयूमा हस्ताक्षर फेरि प्रक्रिया अघि बढेन त्यहीबीचमा प्रेस स्थापना जर्मन कम्पनीको प्रस्ताव मन्त्रिपरिदले सञ्चार मन्त्रालयको अध्ययन समितिले अध्ययन गरेपछिमात्र कुन कम्पनीलाई दिने निर्क्यौल त्यसको जिम्मेवारी सञ्चारमन्त्री बाँस्कोटालाई दिने निर्णय गर्‍यो फ्रान्सेली कम्पनीलाई दिने भनेर एमओयु भइसकेको अवस्थामा फेरि जर्मन कम्पनी थपिनु अध्ययनको नाममा लम्बाएर बार्गेनिङको चलखेल आशंका संसदको लेखा समितिले गत कात्तिक २२ गते क्याबिनेटले फ्रान्सेली कम्पनीसँग सेक्युरिटी प्रिन्टिङका सम्झौता निर्णय गर्‍यो त्यसपछि फेरि चलखेल भयो क्याबिनेटले निर्णय गर्दा पूर्ण क्षमताको प्रिन्टिङ प्रेस स्थापना भनेको उक्त निर्णयअनुसार बैंक नोट राहदानी हुलाक टिकट राजस्व स्टिकर स्मार्ट कार्ड छपाइ भनिएको कूल लागत ३० अर्बसम्म लाग्ने अनुमान गरिएको प्रेसकै फ्रेन्च कम्पनीले यसमा २७ अर्बको लागत प्रस्ताव फेरि चलखेल भयो सञ्चार मन्त्रालयले चरणमा पूर्ण क्षमताको प्रेस स्थापना नगरी कार्डमा छपाइ प्रेस स्थापनाका सम्झौता प्रक्रिया अघि बढायो फ्रेन्च कम्पनीसँग सम्झौता यसका सरकारले १५ अर्बजति खर्च अनुमान स्रोतहरूका फ्रेन्च कम्पनीको स्थानीय एजेन्ट आएकाले सरकारले बार्गेनिङको वातावरण मिलाउन निर्णय परिवर्तन आइरेहको
