Title,Body
अमेरिकी सांसदसँगको भेटमा खतिवडाले भने– एमसिसी अनुमोदन हुन्छ,"अर्थमन्त्री डा युवराज खतिवडाले एमसिसी सहजै अनुमोदन हुने बताएका छन्।अमेरिकी कंग्रेस सांसदसँगको भेटमा खतिवडाले एमसिसी अन्तर्गत प्राप्त हुने अमेरिकी अनुदान सहायता नेपाललाई चाहिने कुरामा कुनै द्विविधा नभएको उल्लेख गरे। भेटमा खतिवडाले एमसिसी सहायता सम्झौता संसदबाट अनुमोदन हुने विश्वास दिलाएका थिए।संयुक्त राज्य अमेरिकी कंग्रेस सदस्यद्वय जर्ज होल्डिङ्ग र अमी बेरासँग आज अर्थ मन्त्रालयमा भएको भेटवार्ताको क्रममा खतिवडाले नेपाल लगानीको लागि उपयुक्त गन्तव्य भएको उल्लेख गर्दै यहाँ उत्पादन भएका बस्तुको बजारका लागि समस्या नहुने बताए।गत वर्ष भएको लगानी सम्मेलनमा अमेरिकी निजी क्षेत्रको उत्साजनक सहभागिता रहेको उनले चर्चा गरेको सचिवालयले जारी गरेको विज्ञप्तिमा उल्लेख छ।अमेरिकी कंग्रेसका सदस्यद्वयले अर्थमन्त्री समक्ष नेपालको अर्थतन्त्र, निजी क्षेत्रको भूमिका, राष्ट्रिय प्राथमिकताका क्षेत्र तथा हितका पक्षमा सरकारले अघि सारेका विषयमा चासो व्यक्त गर्दै नेपालको विकासले अमेरिकाको निजी क्षेत्रमा सकारात्मक सन्देश प्रवाह हुन गएको धारणा राखेका थिए।"
"सञ्चार मन्त्रालयको जिम्मा खतिवडालाई, सहरी विकास नेम्वाङलाई","प्रधानमन्त्री केपी शर्मा ओलीले गोकुल बाँस्कोटाको राजीनामापछि रिक्त भएको सञ्चार तथा सूचना प्रविधि मन्त्रालयको जिम्मेवारी अर्थ मन्त्री युवराज खतिवडालाई दिएका छन्।त्यस्तै, सहरी विकास मन्त्रालयको जिम्मेवारी वसन्त नेम्वाङलाई दिएका छन्। वसन्त नेम्वाङले अहिले भौतिक पूर्वाधार तथा यातायात मन्त्रालय सम्हाल्दै आएका छन्।प्रधानमन्त्रीको सिफारिसमा राष्ट्रपति विद्यादेवी भण्डरीले मन्त्री खतिवडालाई सञ्चार मन्त्रालय र नेम्वाङलाई सहरी विकास मन्त्रालयको जिम्मेवारी दिएकी हुन्।प्रधानमन्त्री ओलीले समाजवादी पार्टीले सरकार छाडेपछि रिक्त भएको सहरी विकास मन्त्रालय समेत गोकुल बाँस्कोटालाई जिम्मा दिएका थिए।बाँस्कोटाले कमिसनका लागि बार्गेनिङ गरेको अडिओ बाहिरिएपछि बिहीबार राजीनामा दिएका छन् ।"
विप्लवका कार्यकर्ता बिपी विद्रोही पक्राउ,"नेत्रविक्रम चन्द विप्लव समूहका एक कार्यकर्ता काठमाडौंबाट पक्राउ परेका छन्।बिहीबार दिउँसो कुलेश्वरबाट चन्दा उठाउन जाने क्रममा २९ वर्षीय वृहस्पति पौडेल (बिपी विद्रोही) पक्राउ परेका हुन्।'चन्दा उठाउन जाँदै गर्दा आज दिउँसो पक्राउ गरेका हो,'महानगरीय प्रहरी परिसरका प्रवक्ता डिएसपी होबिन्द्र बोगटीले भने,'थप अनुसन्धान गरिरहेका छौं।'उनलाई महानगरीय प्रहरी वृत्त कालिमाटीको टोलीले पक्राउ गरेको हो।"
एमसिसी कार्यदलले शुक्रबार प्रतिवेदन बुझाउने तयारी,"मिलेनियम च्यालेञ्ज कर्पोरेसन (एमसिसी) का विषयमा अध्ययन गर्न बनेको कार्यदलले शुक्रबार अन्तिम प्रतिवेदन बुझाउने भएको छ।सत्तारूढ दल नेपाल कम्युनिष्ट पार्टी (नेकपा) को केन्द्रीय समिति बैठकले गठन गरेको कार्यदलले शुक्रबार एमसिसीको प्रतिवेदन बुझाउने भएको हो।कार्यदलका सदस्य भीम रावलले अध्ययन अन्तिम चरणमा पुगेको र प्रतिवेदन बुझाउने विषयमा आज टुंगो लाग्ने बताए।बिहीबारको बैठकमा प्रतिवेदन अगाडि बढाउने विषयमा छलफल भएको बताउँदै रावलले भने, ‘आजको बैठकबाट अन्तिम रूप दिने निर्णय भएको छ। अन्तिम रूप दिएर बुझाउने प्रक्रियामा छौं। भोलिसम्म प्रक्रिया पूरा गर्छ होला।’एमसिसीका विषयमा सत्तारूढ दलभित्र चर्को विरोध भएपछि केन्द्रीय समिति बैठकले अध्ययन कार्यदल गठन गर्ने निर्णय गरेको थियो।सोही निर्णयअनुसार गठन भएको कार्यदलले एमसिसीका विषयमा अध्ययन गरिहको छ।कार्यदलमा रावलसँगै परराष्ट्र मन्त्री प्रदीप ज्ञवाली र झलनाथ खनाल सदस्य रहेका छन्। यसअघि हिजो परराष्ट्र मन्त्री ज्ञवालीले कार्यदलले सुझाव सहितको प्रतिवेदन पेश गर्ने तर संसदबाट पारित गर्ने/नगर्ने भन्ने विषयमा कुनै निर्णय नगर्ने बताएका थिए।"
भारतमा बस र ट्रक ठोक्किँदा १९ को मृत्यु,दक्षिणी भारतमा बस र ट्रक एकआपसमा ठोक्किँदा कम्तीमा पनि १९ जनाको मृत्यु भएको छ। बिहीबार बिहान दक्षिणी भारतको तमिलनाडुस्थित अभिनासा नजिकैको राजमार्गमा ट्रक र बस एक आपसमा ठोक्किएको हो।बस ड्राइभरको घटनास्थलमै मृत्यु भएपनि ट्रक ड्राइभर भने बाचेका छन्। प्रहरीका अनुसार ९ जना घाइते भइ अस्पतालमा भर्ना भएका छन् भने अन्य केही उपचारपछि छुटिसकेका छन्।उक्त यात्रुबाहक बस केरलाको तिरुवनन्तपुरम जाँदै गरेको थियो। ट्रक अर्को लेनमा जाँदा विपरित दिसाबाट आउँदै गरेको बससँग ठोक्किएको हो। दुर्घटनामा बसको एकापट्टिको भाग ध्वस्त भएको छ।
बाँस्कोटासँग अडिओ टेपमा बोल्ने मिश्रलाई कारबाही गर्न प्रहरीलाई पत्राचार,"प्रतिनिधिसभाको सार्वजनिक लेखा समितिले निवर्तमान सञ्चार तथा सूचना प्रविधि मन्त्री गोकुल बाँस्कोटासँग कमिसनको कुराकानी गर्ने विजय प्रकाश मिश्रलाई कारबाही गर्न प्रहरीलाई पत्राचार गरेको छ।तर उनलाई अडिओ टेप सार्वजनिक गरेकोमा नभई लेखा समितिका सांसदको चरित्र हत्या गर्ने गरी टीकाटिप्पणी गरेकोमा समितिले कारबाही गर्न पत्राचार गरेको हो।उनले रातोपाटी अनलाइनसँगको कुराकानीमा बाँस्कोटासँगको अडिओ बाहिर नल्याएको भए लेखा समितिबाट जर्मन कम्पनीलाई ठेक्का दिने सहमति हुन लागेको बताएका थिए।नोट, पासपोर्ट र राजस्व स्टिकर लगायतका महत्वपूर्ण कागजपत्र छपाइका लागि आवश्यक सेक्युरिटी प्रेस खरिद गर्ने विषयमा सार्वजनिक लेखा समितिले छानबिन गरिरहेको थियो।सरकारले जर्मनी, फ्रान्स र स्वीस कम्पनीसँग सेक्युरिटी प्रेस खरिदबारे छलफल गरे पनि अन्तिममा जर्मनी र फ्रान्सबारे प्रस्ताव अगाडि बढाउने तयारी गरेको थियो।तर मिश्रले लेखा समितिले जर्मनीको कम्पनीलाई ठेक्का दिनेगरी समितिका सदस्यहरूले सेटिङ गरेको दाबी गरेका थिए।‘आज हामीले यो अडिओ बाहिर नल्याएको भए आजै लेखा समितिबाट जर्मन कम्पनीलाई ठेक्का दिने सहमति हुँदै थियो। लेखा समितिका मान्छेहरूले पनि कमिसन खाने गरी सेटिङ गरिसकेका थिए। त्यसकारण हामीले उक्त अडिओ बाहिर ल्याएर भ्रष्टाचार हुनबाट रोक्न खोजेका हौं,’ उनले भनेका छन्।मिश्रले गरेको टिप्पणीबारे लेखा समितिका सांसदहरूले आपत्ति जनाएका थिए।कांग्रेस सांसद मिनेन्द्र रिजालले प्रभात किशोर उपाध्यायले फेसबुकमा लेखेको स्ट्याटस नै देखाएका थिए। सांसद रिजालले '४ अर्ब खाएको भनेर दुष्प्रचार गरिएको भन्दै बैठकमा लेखा समिति सदस्यहरु भएको ‘स्क्रिन सट’ देखाएका थिए।नेकपाका सांसद सूर्य पाठकले भने सञ्चार मन्त्रीसँगको अडिओ सार्वजनिक गरेका विजय प्रकाश मिश्रले गरेको सार्वजनिक टिप्पणीमाथि पनि छानबिन गर्नुपर्ने बताए। 'मिश्र भन्ने जसलाई हामीले विज्ञ भनेर बोलाएका थियौं। उहाँले आज यो रेकर्ड सार्वजनिक नभएको भए लेखा समितिले जर्मन कम्पनीलाई ठेक्का दिन निर्देशन दिने भन्नुभएको छ', पाठकले भने, 'म यसको छानबिन गर्न माग गर्छु।' पाठकले समिति सभापतिले ‘चार अर्ब खान’ लागेको विषय पुष्टि गर्नुपर्ने बताए। त्यस्तै, समाजवादी पार्टीका सांसद मोहम्मद इश्तियाक राइले पनि मिश्रले संसदको गरिमामा प्रहार गरेको बताए।सम्बन्धित समाचार : सेक्युरिटी प्रेस खरिद प्रकरणमा लेखा समितिको बदनाम गरिएको भन्दै सांसद आक्रोशितमिश्र सेक्युरिटी प्रेस खरिदका लागि स्वीस कम्पनीका एजेन्ट समेत हुन्। मिश्रलाई यसअघि लेखा समितिले नै सेक्युरिटी प्रेसको विषयमा विज्ञका रूपमा डाकेर छलफल गरेको थियो।त्यस्तै, लेखा समितिले फेसबुकमा सांसदहरूको फोटोसहित ४ अर्ब खान लागेको टिप्पणी गरेका प्रभात किशोर उपाध्यायलाई पनि कारबाहीको लागि प्रहरीलाई पत्राचार गरेको छ।'४ अर्ब खाएर जर्मन कम्पनीलाई दिने सांसदहरू' उल्लेख गर्दै सांसदहरूको फोटो पोस्ट गरेका थिए।"
नैतिकताका आधारमा राजीनामा दिएँ: बाँस्कोटा,नेपाल कम्युनिष्ट पार्टीका नेता गोकुलप्रसाद बाँस्कोटाले नैतिकताका आधारमा सञ्चार तथा सूचना प्रविधि मन्त्रालयबाट राजीनामा दिएको बताएका छन्।सेक्युरिटी प्रिन्टिङ प्रेसको खरिदमा कमिसन मागेको आरोप लागेका बाँस्कोटाले बिहीबार दिउँसो प्रधानमन्त्री केपी शर्मा ओलीलाई राजीनामा बुझाएका हुन्।राजीनामापछि सामाजिक सञ्जाल ट्वीटरमा बाँस्कोटाले लेखेका छन्-  मेरोबारेमा प्रश्न उठेकोले सम्माननीय प्रधानमन्त्रीज्यूसमक्ष  नैतिकताको आधारमा मन्त्री पदबाट राजीनामा दिएको जानकारी गराउँदछु। धन्यवाद।यसअघि प्रतिनिधि सभाका सभामुख अग्निप्रसाद सापकोटाले बाँस्कोटाले राजीनामा दिएको सदनलाई जानकारी दिएका थिए। बाँस्कोटाको राजीनामापछि दुई मन्त्रालयमा नेतृत्व खाली भएको छ। गत पुस २५ देखि बाँस्कोटाले सहरी विकास मन्त्रालयको पनि जिम्मेवारी सम्हालेका थिए।उपेन्द्र यादव नेतृत्वको समाजवादी पार्टी सरकारबाट बाहिरिएपछि प्रधानमन्त्री ओलीले आफ्ना विश्वासपात्र बाँस्कोटालाई उक्त मन्त्रालयको जिम्मेवारी दिएका थिए।त्यतिबेला खाली भएको कानुन मन्त्रालयमा केही दिनअघि शिवमाया तुम्बाहाङ्फे मन्त्री नियुक्त भइसकेकी छन्। 
बाँस्कोटाको राजीनामासँगै दुई मन्त्रालय खाली,सेक्युरिटी प्रिन्टिङ प्रेस खरिदमा कमिसन मागेको आरोप लागेपछि सञ्चार तथा सूचना प्रविधि मन्त्री गोकुलप्रसाद बाँस्कोटाले बिहीबार राजीनामा दिएका छन्।उनले बालुवाटार पुगेर प्रधानमन्त्री केपी शर्मा ओलीलाई राजीनामा पत्र बुझाएका छन्।बाँस्कोटाको राजीनामापछि दुई मन्त्रालयमा नेतृत्व खाली भएको छ। गत पुस २५ देखि बाँस्कोटाले सहरी विकास मन्त्रालयको पनि जिम्मेवारी सम्हालेका थिए।उपेन्द्र यादव नेतृत्वको समाजवादी पार्टी सरकारबाट बाहिरिएपछि प्रधानमन्त्री ओलीले आफ्ना विश्वासपात्र बाँस्कोटालाई उक्त मन्त्रालयको जिम्मेवारी दिएका थिए।त्यतिबेला खाली भएको कानुन मन्त्रालयमा केही दिनअघि शिवमाया तुम्बाहाङ्फे मन्त्री नियुक्त भइसकेकी छन्। 
कांग्रेसको अवरोधपछि प्रतिनिधिसभा बैठक स्थगित,"प्रमुख प्रतिपक्षी दल नेपाल कांग्रेसको अवरोधपछि प्रतिनिधिसभा बैठक फागुन १३ गते सम्मका लागि स्थगित भएको छ।बिहीबार बसेको बैठकमा कांग्रेसले सेक्युरिटी प्रिन्टिङ प्रेस प्रकरणमा मुछिएका सञ्चार तथा सूचना प्रविधि मन्त्री गोकुल बाँस्कोटामाथि कारबाहीको माग गर्दै संसद अवरूद्ध गरेको थियो।बैठकमा कांग्रेसले तीन माग पूरा नभएसम्म संसद चल्न नदिने बताएको थियो।कांग्रेसले सञ्चार मन्त्री बाँस्कोटाको बर्खास्तगी, मन्त्रीमण्डलले यो प्रकरणको जिम्मा लिने र यो प्रकरण भ्रष्टाचारसँग जोडिएको विषय भन्दै सञ्चार मन्त्रीलाई कानुनी दायरका ल्याउन माग गरेको छ।  बैठकमा सभामुखले सञ्चार मन्त्री बाँस्कोटाले पदबाट राजीनामा दिएको जानकारी दिएका थिए। तर त्यतिञ्जेल पनि कांग्रेस सांसद नबसेपछि उनले बैठक स्थगित भएको ज‍ानकारी दिए।अर्को बैठक फागुन १३ गते १ बजे बस्नेछ।मन्त्री बाँस्कोटा मुछिएको सेक्युरिटी प्रेस प्रकरण के हो?तीन वर्षअघि सेक्युरिटी प्रेस राख्ने औपचारिक प्रक्रिया सुरू भए पनि यो प्रक्रिया निकै बांगोटिंगो बाटोबाट गुज्रिएको छ। बेलाबेलामा भएका विरोधाभाषपूर्ण निर्णयले विभिन्न शंकाहरू जन्माएका छन्।बैंक नोट, पासपोर्ट, स्मार्ट कार्डलगायतका कुरा नेपालमै छाप्नका लागि एउटा सेक्युरिटी प्रेस नेपालमै जडान गर्ने कुरा धेरै पहिलादेखि नै उठेको हो। मन्त्रिपरिषदबाट विभिन्न समयमा प्रेस स्थापना गर्ने निर्णय भए पनि काम अघि बढेको थिएन।सरकार परिवर्तन भइरहने हुनाले हरेक सरकारले आफूअनुकूल प्रेस स्थापना गर्ने निर्णय गर्दै आएका थिए।२०७३ सालमा पहिलो पटक सरकारले प्रेस राख्ने सम्बन्धमा औपचारिक अध्ययन गरेको थियो।त्यतिबेला राष्ट्रिय योजना आयोगका उपाध्यक्ष रहेका हालका अर्थमन्त्री युवराज खतिवडाले प्रेस स्थापना, ढाँचा, लगानी तथा छनौटका विभिन्न आधारसहितको सुझाव प्रतिवेदन दिएका थिए।त्यो बेला प्रधानमन्त्री केपी शर्मा ओली नै थिए।खतिवडाको उक्त प्रतिवेदनमा सरकारले नीतिगत निर्णय गर्नुपर्ने सिफारिस गरिएको थियो।पछि  उक्त आयोजना लगानी बोर्डमार्फत् नै अघि बढाउने तय भयो।प्रेस स्थापना तथा सञ्चालनका लागि भन्दै २०७३ सालमै सुरक्षण मुद्रण विकास समिति पनि गठन भयो।लगानी बोर्डले खुला प्रतिस्पर्धाबाट प्रेस प्लान्ट बनाउने तय गर्‍यो। एक स्वीस कम्पनीले बुट मोडलमा आफूले प्रेस जडान गरेर सञ्चालन गर्ने प्रस्ताव पनि बोर्डमा पठायो।त्यहीबीचमा ओली सरकार ढल्यो। तत्कालीन नेकपा एमाओवादीका अध्यक्ष पुष्पकमल दाहाल ‘प्रचण्ड’ प्रधानमन्त्री बने।  त्यसपछि प्रेस स्थापनाको प्रक्रिया खासै अघि बढेन।२०७४ फागुन ३ मा ओली फेरि प्रधानमन्त्री बने। ओलीको नेतृत्वमा सरकार गठन भएपछि फेरि प्रिन्टिङ प्रेस स्थापना गर्ने निर्णय भयो-खुला प्रतिस्पर्धा नभई सरकार-सरकार(जी टु जी) प्रक्रियाबाट प्रेस खरिद गर्ने।त्यसका लागि विभिन्न आयसपत्र पनि जारी भए। तर त्यो आसयपत्र खुल थिएन, सीमितमात्र थियो।जर्मन र फ्रान्स सरकारले प्रेस स्थापनाका लागि आवेदन दिए। सञ्चार मन्त्रालयनिकट स्रोतहरूका अनुसार सरकारले प्रस्ताव आह्वान गर्नुभन्दा पनि स्थानीय एजेन्टको पहलमा नै प्रस्ताव आए।यसैबीच २०७५ मा फागुनमा सञ्चारमन्त्री बाँस्कोटा पेरिस पुगे र  फ्रान्सको इनग्रुप कम्पनीसँग प्रेस स्थापना गर्ने एमओयूमा हस्ताक्षर भयो। एमओयूमा हस्ताक्षर भए पनि फेरि प्रक्रिया अघि बढेन।त्यहीबीचमा प्रेस स्थापना गर्न जर्मन कम्पनीको पनि प्रस्ताव आयो।मन्त्रिपरिदले सञ्चार मन्त्रालयको अध्ययन समितिले अध्ययन गरेपछिमात्र कुन कम्पनीलाई दिने निर्क्यौल हुने र त्यसको जिम्मेवारी सञ्चारमन्त्री बाँस्कोटालाई दिने निर्णय गर्‍यो।फ्रान्सेली कम्पनीलाई दिने भनेर एमओयु नै भइसकेको अवस्थामा फेरि जर्मन कम्पनी पनि थपिनु र अध्ययनको नाममा समय लम्बाएर बार्गेनिङको चलखेल भएको आशंका संसदको लेखा समितिले गरेको थियो।गत कात्तिक २२ गते क्याबिनेटले फ्रान्सेली कम्पनीसँग नै सेक्युरिटी प्रिन्टिङका लागि सम्झौता गर्ने निर्णय गर्‍यो। त्यसपछि फेरि चलखेल भयो।क्याबिनेटले निर्णय गर्दा पूर्ण क्षमताको प्रिन्टिङ प्रेस स्थापना गर्ने भनेको थियो। उक्त निर्णयअनुसार बैंक नोट, राहदानी, हुलाक टिकट, राजस्व स्टिकर, स्मार्ट कार्ड छपाइ हुने भनिएको थियो। यसको कूल लागत ३० अर्बसम्म लाग्ने अनुमान गरिएको थियो।प्रेसकै लागि फ्रेन्च कम्पनीले यसमा २७ अर्बको लागत प्रस्ताव गरेको थियो।फेरि चलखेल भयो। सञ्चार मन्त्रालयले पहिलो चरणमा पूर्ण क्षमताको प्रेस स्थापना नगरी कार्डमा मात्र छपाइ हुने प्रेस स्थापनाका लागि सम्झौता गर्ने प्रक्रिया अघि बढायो। किनभने यो बीचमा फ्रेन्च कम्पनीसँग सम्झौता भएको थिएन। यसका लागि सरकारले १५ अर्बजति खर्च हुने अनुमान गरेको थियो।स्रोतहरूका अनुसार फ्रेन्च कम्पनीको स्थानीय एजेन्ट नयाँ आएकाले सरकारले बार्गेनिङको वातावरण मिलाउन निर्णय परिवर्तन गर्दै आइरेहको छ। "
सञ्चार मन्त्री बाँस्कोटाले दिए राजीनामा,"सेक्युरिटी प्रिन्टिङ प्रेस खरिदमा कमिसन मागेको आरोप लागेका सञ्चार तथा सूचना प्रविधि मन्त्री गोकुलप्रसाद बाँस्कोटाले राजीनामा दिएका छन्। बिहीबार धनगढीबाट फर्किएका बाँस्कोटाले प्रधानमन्त्री निवास बालुवाटार पुगेर प्रधानमन्त्री केपी शर्मा ओलीलाई राजीनामा बुझाएको स्रोतले सेतोपाटीलाई जानकारी दियो।प्रतिनिधि सभामा सभामुख अग्निप्रसाद सापकोटाले बाँस्कोटाले राजीनामा दिइसकेको सदनलाई जानकारी दिएका छन्। बिहीबार बसेको प्रतिनिधिसभा बैठकमा सभामुख सापकोटाले  भने, ‘मन्त्री बाँस्कोटाले राजीनामा बुझाइसक्नु भएको अनौपचारिक जानकारी प्राप्त भएको छ।मन्त्री बाँस्कोटाले एक स्वीस कम्पनीसँग ७० देखि ७५ करोड रुपैयाँ कमिसन आउँदा त्यसको ७० प्रतिशत कमिसन आफूलाई दिन बार्गेनिङ गर्दै गरेको अडिओ टेप सार्वजनिक भएको थियो।हाम्राकुरा डटकम (hamrakura.com) ले पहिलो पटक बुधबार अबेर राति 'सरकारका प्रवक्ता समेत रहेका मन्त्री बाँस्कोटाले स्वीस कम्पनीका स्थानीय एजेन्ट विजयप्रकाश मिश्रसँगको कमिसन कुराकानी भन्दै' समाचार र अडिओ टेप सार्वजनिक गरेको थियो। बिहिबार बिहान अरू सञ्चार संस्थाले पनि सो टेप र समाचार प्रकाशित गरेका छन्।सार्वजनिक भएको अडियो टेपमा मन्त्री बाँस्कोटाले प्रस्तावित सेक्युरिटी प्रेस स्थापना गर्ने सम्झौता २० देखि २७ अर्बमा सक्न एजेन्ट शर्मालाई भनेको सुनिन्छ।'अब सकेसम्म २५-२७ अर्बमा सक्न पाए हुन्थ्यो भन्ने लागेका छ। मान्नुहोस् २५ निस्कियो भने कति आउँला?', टेपमा बाँस्कोटाले मिश्रलाई सोधेका छन्।'आउट अफ ट्र्याकमा जाँदाखेरि ७० को हाराहारी ६० देखि ७० को हाराहारीमा आउँछ की', मिश्रले जवाफ दिएका छन्।त्यसपछि बाँस्कोटाले मिश्रलाई सम्बन्धित कम्पनीले के गर्छन् भनी सोधेका छन्।'टोटल ७४ करोड जति आउँछ भन्ने हाम्रो अनुमान छ', मिश्रको जवाफ छ।टेपमा मिश्रले कमिसनको ७० प्रतिशत मन्त्रीलाई र ३० प्रतिशत आफूलाई हुने बताएको पनि सुन्न सकिन्छ।मन्त्री बाँस्कोटाले एक ठाँउमा मूल्य एक अर्ब बढाउन पनि भनेको सुनिन्छ।मन्त्री बाँस्कोटा मुछिएको सेक्युरिटी प्रेस प्रकरण के हो?तीन वर्षअघि सेक्युरिटी प्रेस राख्ने औपचारिक प्रक्रिया सुरू भए पनि यो प्रक्रिया निकै बांगोटिंगो बाटोबाट गुज्रिएको छ। बेलाबेलामा भएका विरोधाभाषपूर्ण निर्णयले विभिन्न शंकाहरू जन्माएका छन्।बैंक नोट, पासपोर्ट, स्मार्ट कार्डलगायतका कुरा नेपालमै छाप्नका लागि एउटा सेक्युरिटी प्रेस नेपालमै जडान गर्ने कुरा धेरै पहिलादेखि नै उठेको हो। मन्त्रिपरिषदबाट विभिन्न समयमा प्रेस स्थापना गर्ने निर्णय भए पनि काम अघि बढेको थिएन।सरकार परिवर्तन भइरहने हुनाले हरेक सरकारले आफूअनुकूल प्रेस स्थापना गर्ने निर्णय गर्दै आएका थिए।२०७३ सालमा पहिलो पटक सरकारले प्रेस राख्ने सम्बन्धमा औपचारिक अध्ययन गरेको थियो।त्यतिबेला राष्ट्रिय योजना आयोगका उपाध्यक्ष रहेका हालका अर्थमन्त्री युवराज खतिवडाले प्रेस स्थापना, ढाँचा, लगानी तथा छनौटका विभिन्न आधारसहितको सुझाव प्रतिवेदन दिएका थिए।त्यो बेला प्रधानमन्त्री केपी शर्मा ओली नै थिए।खतिवडाको उक्त प्रतिवेदनमा सरकारले नीतिगत निर्णय गर्नुपर्ने सिफारिस गरिएको थियो।पछि  उक्त आयोजना लगानी बोर्डमार्फत् नै अघि बढाउने तय भयो।प्रेस स्थापना तथा सञ्चालनका लागि भन्दै २०७३ सालमै सुरक्षण मुद्रण विकास समिति पनि गठन भयो।लगानी बोर्डले खुला प्रतिस्पर्धाबाट प्रेस प्लान्ट बनाउने तय गर्‍यो। एक स्वीस कम्पनीले बुट मोडलमा आफूले प्रेस जडान गरेर सञ्चालन गर्ने प्रस्ताव पनि बोर्डमा पठायो।त्यहीबीचमा ओली सरकार ढल्यो। तत्कालीन नेकपा एमाओवादीका अध्यक्ष पुष्पकमल दाहाल ‘प्रचण्ड’ प्रधानमन्त्री बने।  त्यसपछि प्रेस स्थापनाको प्रक्रिया खासै अघि बढेन।२०७४ फागुन ३ मा ओली फेरि प्रधानमन्त्री बने। ओलीको नेतृत्वमा सरकार गठन भएपछि फेरि प्रिन्टिङ प्रेस स्थापना गर्ने निर्णय भयो-खुला प्रतिस्पर्धा नभई सरकार-सरकार(जी टु जी) प्रक्रियाबाट प्रेस खरिद गर्ने।त्यसका लागि विभिन्न आयसपत्र पनि जारी भए। तर त्यो आसयपत्र खुल थिएन, सीमितमात्र थियो।जर्मन र फ्रान्स सरकारले प्रेस स्थापनाका लागि आवेदन दिए। सञ्चार मन्त्रालयनिकट स्रोतहरूका अनुसार सरकारले प्रस्ताव आह्वान गर्नुभन्दा पनि स्थानीय एजेन्टको पहलमा नै प्रस्ताव आए।यसैबीच २०७५ मा फागुनमा सञ्चारमन्त्री बाँस्कोटा पेरिस पुगे र  फ्रान्सको इनग्रुप कम्पनीसँग प्रेस स्थापना गर्ने एमओयूमा हस्ताक्षर भयो। एमओयूमा हस्ताक्षर भए पनि फेरि प्रक्रिया अघि बढेन।त्यहीबीचमा प्रेस स्थापना गर्न जर्मन कम्पनीको पनि प्रस्ताव आयो।मन्त्रिपरिदले सञ्चार मन्त्रालयको अध्ययन समितिले अध्ययन गरेपछिमात्र कुन कम्पनीलाई दिने निर्क्यौल हुने र त्यसको जिम्मेवारी सञ्चारमन्त्री बाँस्कोटालाई दिने निर्णय गर्‍यो।फ्रान्सेली कम्पनीलाई दिने भनेर एमओयु नै भइसकेको अवस्थामा फेरि जर्मन कम्पनी पनि थपिनु र अध्ययनको नाममा समय लम्बाएर बार्गेनिङको चलखेल भएको आशंका संसदको लेखा समितिले गरेको थियो।गत कात्तिक २२ गते क्याबिनेटले फ्रान्सेली कम्पनीसँग नै सेक्युरिटी प्रिन्टिङका लागि सम्झौता गर्ने निर्णय गर्‍यो। त्यसपछि फेरि चलखेल भयो।क्याबिनेटले निर्णय गर्दा पूर्ण क्षमताको प्रिन्टिङ प्रेस स्थापना गर्ने भनेको थियो। उक्त निर्णयअनुसार बैंक नोट, राहदानी, हुलाक टिकट, राजस्व स्टिकर, स्मार्ट कार्ड छपाइ हुने भनिएको थियो। यसको कूल लागत ३० अर्बसम्म लाग्ने अनुमान गरिएको थियो।प्रेसकै लागि फ्रेन्च कम्पनीले यसमा २७ अर्बको लागत प्रस्ताव गरेको थियो।फेरि चलखेल भयो। सञ्चार मन्त्रालयले पहिलो चरणमा पूर्ण क्षमताको प्रेस स्थापना नगरी कार्डमा मात्र छपाइ हुने प्रेस स्थापनाका लागि सम्झौता गर्ने प्रक्रिया अघि बढायो। किनभने यो बीचमा फ्रेन्च कम्पनीसँग सम्झौता भएको थिएन। यसका लागि सरकारले १५ अर्बजति खर्च हुने अनुमान गरेको थियो।स्रोतहरूका अनुसार फ्रेन्च कम्पनीको स्थानीय एजेन्ट नयाँ आएकाले सरकारले बार्गेनिङको वातावरण मिलाउन निर्णय परिवर्तन गर्दै आइरेहको छ। "
